id;updated;type;band;mode;network;network_id;district;call;city;channel;output;tx_shift;access;status;lat;lng;locator;masl;magl;watt_pep;dir;ant;backup
400;"2014-09-28";"Hotspot";70;"D-Star";"ircDDB";"";0;"SEØYOS-C";"M/Y Erika";"";434.45;"Duplex 0";"DV Carrier";"QRV";59.3258;18.0063;"JO99AH";"";"";"";"";"";0
406;"2025-08-06";"Hotspot";70;"D-Star";"ircDDB";"";3;"SK3GA-B";"Hudiksvall";"";434.475;"Duplex 0";"DV Carrier";"QRT";61.723;17.1;"JP81NR";60;34;20;"";"Aerial 4-stack";2
407;"2014-12-23";"Repeater";2;"D-Star";"ircDDB";"";3;"SK3RFG-C";"Sundsvall / Klissberget";"RV47";145.5875;-0.6;"DV Carrier";"QRV";62.3785;17.202;"JP82OJ";320;60;20;"";"";0
409;"2013-11-30";"Hotspot";2;"D-Star";"ircDDB";"";4;"SG4UOF-C";"Glanshammar";"";145.3375;"Duplex 0";"DV Carrier";"QRV";59.3726;15.433;"JO79RI";75;30;100;"";"";0
411;"2016-10-25";"Repeater";70;"D-Star";"ircDDB";"";4;"SK4BW-B";"Borlänge";"RU392";434.9;-2;"DV Carrier";"QRV";60.4014;15.465;"JP70RJ";308;14;50;"Omni";"Aeriel OY 1914";0
412;"2013-11-30";"Hotspot";70;"D-Star";"ircDDB";"";4;"SG4UZM-B";"Borlänge";"RU364";434.55;"Duplex 0";"DV Carrier";"QRV";60.5043;15.4517;"JP70RM";"";"";"";"";"";0
413;"2013-11-30";"Hotspot";2;"D-Star";"ircDDB";"";5;"SG5TAH-C";"Flen / Orrhammar";"";145.3375;"Duplex 0";"DV Carrier";"QRV";59.0825;16.5693;"JO89GB";"";"";"";"";"";0
414;"2023-11-17";"Hotspot";70;"DMR";"ircDDB";"";4;"SG4AXV";"Ekshärad";"";433.2;"Simplex";"DV Carrier";"QRV";60.1769;13.4925;"JP60RE";155;8;"";"Omni";"";2
415;"2018-01-09";"Hotspot";70;"DMR / D-Star";"ircDDB";"";4;"SG4AXQ";"Sunne";"";432.5;"Duplex 0";"CC 1 / DV";"QRV";59.8459;13.1337;"JO69NU";"";"";45;"";"";0
416;"2018-01-10";"Repeater";70;"FM";"";"";6;"SK6RPE";"Kungälv";"RU392";434.9;-2;114.8;"QRV";57.8564;11.9628;"JO57XU";"";"";"";"";"";0
417;"2023-10-25";"Repeater";2;"FM";"Echolink";288856;6;"SM6VBT/R";"Mölndal";"RV56";145.7;-0.6;118.8;"QRV";57.65;12.0166;"JO67AP";"";"";"";"";"";0
418;"2023-10-25";"Repeater";70;"FM";"Echolink";288856;6;"SM6VBT/R";"Mölndal";"RU376";434.7;-2;118.8;"QRV";57.65;12.0166;"JO67AP";"";"";"";"";"";0
431;"2020-11-29";"Repeater";2;"FM / C4FM";"";"";1;"SK1RGU";"Endre";"RV62";145.775;-0.6;"1750 / 218.1";"QRV";57.6085;18.4743;"JO97FO";124;65;50;"Omni";"4 Dipole / 6dBi";1
432;"2016-04-24";"Repeater";2;"FM / C4FM";"";"";3;"SK3JR/R";"Östersund";"RV60";145.75;-0.6;127.3;"QRV";63.1898;14.7668;"JP73JE";"";"";"";"";"";0
433;"2014-09-28";"Repeater";70;"FM / C4FM";"";"";6;"SK6EI/R";"Skövde";"RU386";434.825;-2;114.8;"QRV";58.4177;13.8154;"JO68VK";300;20;50;"";"Aerial OY AV1914-H (4 stack 10dBi)";0
434;"2022-10-01";"Repeater";2;"FM / C4FM";"SvxReflector";"";7;"SK7BQ/R";"Kristianstad";"RV59";145.7375;-0.6;79.7;"QRV";56.005;14.065;"JO76AA";"";"";"";"";"";0
